col_no,pos_fr_rd,treatment,time_point,date,action,selection_to_retest mites,varroa_retest_notes,reorg_or_removed_box,numerical_trt,gross_wt_kgs,gross_wt_lbs,bip_style_fob,fob_covered_at_all,top_of_box_bip_style_fob,hobo_no,hobo_sensor_propolis_30_Sep,rh_sensor_propolis,logger_connection_issue,end_of_file_issue,any_hobo_issue,water_amt_0-3,oct1_feeder_type,cups_fed,aec_towel_perc_remaining,time,q_status,q_event,brd_pattern,remove,notes,col_hist,location_on_9-19,date_brd_inspection_wax_virus,date_brd_exam,viral_sample_tf,wax_sample_tf,alc_sample_tf,alc_jar_no,mites_recov_3_washes,extra_mites_by_2-clear_rinses,mites_recov_total,gm_wt_100_bees,gm_wt_total_bee_sample,est_bee_num_by_wt,perc_phoretic_mites_by_weight,date_brd_pattern_assessed,disorders,dr_brood_exam_tf,dr_infested_num,dr_exhumed_num,wk_brood_exam_tf,infested_in_first_200_cells_num,extra_wk_infested_num,extra_wk_exhumed_num,dwv_num_sides_obs,dwv_tf,cdb_num_sides_obs,prev_bees_tot_sides,prev_cap_brd_tot_sides,prev_dr_capbrd_tot_sides,prev_honey_tot_sides,prev_pollen_tot_sides,prev_wk_capbrd_tot_sides,cap_brd_tot_sides_rm,dr_capbrd_tot_sides_rm,honey_tot_sides_removed,pollen_tot_sides_removed,bees_tot_sides,cap_brd_tot_sides,dr_capbrd_tot_sides,honey_tot_sides,pollen_tot_sides,wk_capbrd_tot_sides,est_sides_brood_incl_open,est_sides_used_space,est_sides_free_space,9.23_honey_addition_sides,9.23_pollen_addition_sides,bees_num,dr_capbrd_cells_num,revised_honey_tot_sides,revised_pollen_tot_sides,wrk_capbrd_cells_num,phoretic_mites_num_estimate,dr_cells_infested_estimate,wk_cells_infested_estimate,mites_total_estimate,sides_honey_short_of_9 (2.2 lbs/side),target_weight_lbs,lbs_to_feed,gallons_to_feed_total_wrong_estimate,gals_fed_round 1,gals to feed round 2,lbs_fed,sides_added,new_sides_total,sides_honey_short_of_12
D33,28,AEC,25,10-Nov,Q check and knock down to a single,,,Reorg,,,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,1.375,0,3.325,0.4,1.375,0,0,0.2,0.05,3.65,1.375,0,3.125,0.35,1.375,2.4,5.9,10.1,,,4434.75,0.00,3.13,0.35,4598.00,,,,,5.875,,21.3,1.9,,,,,,
D27,29,Apiguard_Api,25,10-Nov,Q check and knock down to a single,,,Box,,,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85,1,0,7.625,0.1,1,0,0,0,0,5.85,1,0,7.625,0.1,1,1.8,9.5,6.5,,,7107.75,0.00,7.63,0.10,3344.00,,,,,1.375,,5.0,0.4,,,,,,
D28,30,Apiguard_Api,25,10-Nov,Q check and knock down to a single,,,Box,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,1.95,0,6.95,1.375,1.95,0,0,0.05,0.85,6.85,1.95,0,6.9,0.525,1.95,3.4,10.8,5.2,,,8322.75,0.00,6.90,0.53,6520.80,,,,,2.1,,7.6,0.7,,,,,,
D30,31,AEC,25,10-Nov,Q check and knock down to a single,,,Box,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.225,2.075,0,16.4,0.7,2.075,0,0,5.8,0,12.225,2.075,0,10.6,0.7,2.075,3.6,14.9,1.1,,,14853.38,0.00,10.60,0.70,6938.80,,,,,0,,0.0,0.0,,,,,,
C33,32,Apivar,25,10-Nov,Q check and knock down to a single,,,Box,,,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,1.9,0,8.1,1.525,1.9,0,0,1.1,1,2.85,1.9,0,7,0.525,1.9,3.3,10.9,5.2,,,3462.75,0.00,7.00,0.53,6353.60,,,,,2,,7.3,0.6,,,,,,
C6,33,Apiguard_Api,25,10-Nov,Q check and knock down to a single,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC15,34,Apivar,25,10-Nov,Q check and knock down to a single,,,Box,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.825,2.6,0,11.85,0.6,2.6,0,0,3.05,0.575,7.825,2.6,0,8.8,0.025,2.6,4.6,13.4,2.6,,,9507.38,0.00,8.80,0.03,8694.40,,,,,0.2,,0.7,0.1,,,,,,
N42,35,AEC,25,10-Nov,Q check and knock down to a single,,,Box,,,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.225,1.45,0,10.35,0.25,1.45,0,0,0.9,0,9.225,1.45,0,9.45,0.25,1.45,2.5,12.2,3.8,,,11208.38,0.00,9.45,0.25,4848.80,,,,,,,,,,,,,,
D26,36,AEC,25,10-Nov,Q check and knock down to a single,,,Box,,,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.075,2.375,0,10.85,0.875,2.375,0,0,0.95,0.6,9.075,2.375,0,9.9,0.275,2.375,4.2,14.3,1.7,,,11026.13,0.00,9.90,0.28,7942.00,,,,,0,,0.0,0.0,,,,,,
L76,37,Apivar,25,10-Nov,Q check and knock down to a single,,,Reorg,,,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,1.3,0,18.4,1.2,1.3,0,0,7.75,0.7,15.9,1.3,0,10.65,0.5,1.3,2.3,13.4,2.6,,,19318.50,0.00,10.65,0.50,4347.20,,,,,0,,0.0,0.0,,,,,,
62,38,Apivar,25,10-Nov,Q check and knock down to a single,,,Box,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.475,1.35,0,11.4,0.35,1.35,0.225,0,1.75,0.175,12.475,1.125,0,9.65,0.175,1.125,2.0,11.8,4.2,,,15157.13,0.00,9.65,0.18,3762.00,,,,,0,,0.0,0.0,,,,,,
N22,39,Apivar,25,10-Nov,Q check and knock down to a single,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L79,40,AEC,25,10-Nov,Q check and knock down to a single,,,Box,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.525,1.65,0,9.55,0.725,1.65,0.2,0,0.85,0.7,8.525,1.45,0,8.7,0.025,1.45,2.5,11.3,4.7,,,10357.88,0.00,8.70,0.03,4848.80,,,,,0.3,,1.1,0.1,,,,,,
4,41,AEC,25,10-Nov,Q check and knock down to a single,,,Box,,,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.55,1.2,0.025,11.65,0.225,1.175,0,0,0.3,0,8.55,1.2,0.025,11.35,0.225,1.175,2.1,13.7,2.3,,,10388.25,53.90,11.35,0.23,3929.20,,,,,0,,0.0,0.0,,,,,,
S1,42,Apiguard_Api,25,10-Nov,Q check and knock down to a single,,,Box,,,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15,1.55,0,10.8,1.1,1.55,0,0,0.1,0.35,9.15,1.55,0,10.7,0.75,1.55,2.7,14.2,1.8,,,11117.25,0.00,10.70,0.75,5183.20,,,,,0,,0.0,0.0,,,,,,
17,43,Apivar,25,10-Nov,Q check and knock down to a single,,,Box,,,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,2.125,0,11.75,0.1,2.125,0.025,0,1.35,0,7.8,2.1,0,10.4,0.1,2.1,3.7,14.2,1.8,,,9477.00,0.00,10.40,0.10,7022.40,,,,,0,,0.0,0.0,,,,,,
C8,44,Apiguard_Api,25,10-Nov,Q check and knock down to a single,,,NA,,,,,,,,,,,,,,,,,,,QL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,45,AEC,25,10-Nov,Q check and knock down to a single,,,Box,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.025,1.75,0,15.95,0.325,1.75,0,0,3.9,0.275,8.025,1.75,0,12.05,0.05,1.75,3.1,15.2,0.8,,,9750.38,0.00,12.05,0.05,5852.00,,,,,0,,0.0,0.0,,,,,,
N51,46,AEC,25,10-Nov,Q check and knock down to a single,,,Box,,,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,1.75,0,14.95,1.25,1.75,0,0,5.55,0.45,16.8,1.75,0,9.4,0.8,1.75,3.1,13.3,2.7,,,20412.00,0.00,9.40,0.80,5852.00,,,,,0,,0.0,0.0,,,,,,
C15,47,Apivar,25,10-Nov,Q check and knock down to a single,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,26,,"requeening a few. Did any have to get requeened after the knock down? Lacking detail, need to consult notes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,,,27,13-Nov,1g oxalic vapor and weigh in lbs - weights put into 11/10 rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D10,1,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.7,0.3
D20,2,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,3.3,1.5,9.4,2.6
D15,3,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.8,1.2
D16,4,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.7,1.3
D5,5,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,6,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.7,2.4
9,7,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.3,0.7
D7,8,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,16.5,7.4,10.3,1.7
D8,9,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.8,0.3
RC1,10,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,16.5,7.4,11.3,0.7
D11,11,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,7.7,3.5,10.4,1.6
D25,12,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,6.6,3.0,10.2,1.8
D13,13,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,14,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.3,2.8
N68,15,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.3,0.7
D3,16,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,1.1,0.5,9.0,3.0
2,17,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.0,1.1
D17,18,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.8,0.3
D19,19,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.6,1.4
8,20,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,2.2,1.0,9.3,2.7
L75,21,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.4,0.6
D21,22,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.0,2.1
D22,23,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,11.0,5.0,10.7,1.3
D23,24,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5.5,2.5,10.0,2.0
C12,25,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,16.5,7.4,11.8,0.2
D24,26,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.4,2.7
D12,27,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.9,2.1
D33,28,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,16.5,7.4,10.6,1.4
D27,29,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,4.4,2.0,9.6,2.4
D28,30,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,7.7,3.5,10.4,1.6
D30,31,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.6,1.4
C33,32,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,6.6,3.0,10.0,2.0
C6,33,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC15,34,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,1.1,0.5,9.3,2.7
N42,35,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D26,36,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.9,2.1
L76,37,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.7,1.4
62,38,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.7,2.4
N22,39,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L79,40,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,1.1,0.5,9.2,2.8
4,41,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.4,0.7
S1,42,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.7,1.3
17,43,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.4,1.6
C8,44,Apiguard_Api,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,45,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12.1,0.0
N51,46,AEC,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.4,2.6
C15,47,Apivar,28,19-Nov,Feed # 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D10,1,Apiguard_Api,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.7,,,
D20,2,Apivar,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5.7,,,
D15,3,AEC,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,2.7,,,
D16,4,AEC,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,2.9,,,
D5,5,Apivar,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,6,Apiguard_Api,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5.2,,,
9,7,Apivar,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,1.6,,,
D7,8,Apivar,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,3.7,,,
D8,9,Apivar,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.6,,,
RC1,10,Apivar,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,1.5,,,
D11,11,Apivar,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,3.6,,,
D25,12,Apivar,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,3.9,,,
D13,13,Apiguard_Api,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,14,AEC,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,6.1,,,
N68,15,AEC,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,1.6,,,
D3,16,Apiguard_Api,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,6.6,,,
2,17,Apiguard_Api,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,2.3,,,
D17,18,Apiguard_Api,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.6,,,
D19,19,Apiguard_Api,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,3.1,,,
8,20,Apiguard_Api,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5.9,,,
L75,21,Apiguard_Api,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,1.3,,,
D21,22,Apivar,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,4.6,,,
D22,23,AEC,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,2.9,,,
D23,24,AEC,29,10-Dec,Feed #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,4.4,,,
